sentence,language,rarity
"I am ready to go, but my brother has not reached home yet.",en,False
"Jerry did not complete his homework, so the teacher punished him.",en,False
"My brother should drop me, or I cannot make it to the reception.",en,False
The dress is too tight; I don't think I am going to buy this.,en,False
He likes Marvel movies; he would probably watch all of it at one stretch.,en,False
Try to focus on your studies; everyone else is working really hard and improving their grades.,en,False
"It was not easy to do it; however, Ashwin managed to complete it.",en,True
"We have to complete it; otherwise, we will have to face the consequences.",en,False
"The cleaning work was being done by all the kids; meanwhile, we found a way to sort out their cupboards.",en,True
"All the employers have been requesting for a change in working hours for many months now; however, the company has not made any changes yet.",en,True
"My parents want me to become an IAS officer, but I want to become a teacher.",en,True
"My mom was too tired, yet she cleaned the house.",en,False
"My father is back home; however, we don't know when he will leave again.",en,False
Study well or you will not pass.,en,False
"Although he works long hours, he always finds time to spend with his family.",en,False
She always wears jewelry that matches her outfit.,en,False
"While my brother enjoys spicy food, I prefer milder flavors.",en,True
"Several crops grow here, even though it rarely rains in this region.",en,True
"Though he is talented, he often underestimates his own abilities.",en,True
"Although the company faces tough competition, it continues to thrive in the market.",en,True
"I think you’d like this book, since you love historical fiction.",en,False
He always studies a lot before he takes a test.,en,False
"I sometimes walk to work, as long as the weather is good.",en,False
"My mother stays up late, whereas my father goes to bed earl",en,False
"After she finished her studies, she traveled around Europe for six months.",en,False
"Although they were tired, they stayed up late to finish their project.",en,False
He immediately called for help when he saw the accident.,en,False
My kids often misbehaved whenever they had a babysitter.,en,True
"Since he sold his car, he had to take the bus to work.",en,False
"She didn’t ride the roller coasters, even though she was old enough to do so.",en,True
"When they arrived at the restaurant, they realized it had already closed.",en,False
I stayed awake until my husband got home from work.,en,False
"Before he left his job, he wrote a number of training manuals.",en,True
"She performed very well on stage, though she was quite nervous.",en,False
"After I finish my degree, I will pursue a career in environmental conservation.",en,False
"She will visit her grandparents next weekend, as she hasn’t seen them in months.",en,False
"Once the project is complete, the company will launch its new product on the market.",en,False
"By the time I graduate, I will have traveled to at least five different countries.",en,False
We’re going to clean the bathrooms after we’re done cleaning the kitchen.,en,True
They will be driving to Florida since flights are too expensive.,en,False
"Electric cars will become more popular in a few years, even though they’re not very common now.",en,False
I’m going to start preparing dinner before I leave for work.,en,False
"Once the renovations are finished, the house will be even more beautiful.",en,True
I won’t lend you any more money until you pay me back.,en,False
"While I was studying for my exam, my friends were watching a movie.",en,False
They will be traveling to Europe while we are attending the conference.,en,False
"As the sun was setting, the children were playing in the park.",en,False
I was cleaning the house all evening after I saw how dirty it was.,en,False
I’ll be waiting for you at the café until you finish your meeting.,en,True
"When I finish my work, I will join you for dinner.",en,False
I had cleaned the whole house before we left for vacation.,en,False
He couldn’t go to the party because he was feeling sick.,en,False
I’m not buying anything else this month since I’ve already spent too much.,en,False
"As soon as they receive the necessary materials, they will start the project.",en,False
"Once she finishes her degree, she plans to travel the world.",en,False
I was exhausted because I had been working all day.,en,False
"Now that the rain has stopped, we can go outside.",en,False
He will buy a new car once he saves enough money.,en,False
"Since she doesn’t have any prior experience, she decided to take a training course.",en,False
"If it rains tomorrow, we will stay indoors and watch movies.",en,True
She won’t pass the exam unless she studies a lot.,en,False
"If I won the lottery, I would travel around the world.",en,False
He would have gone to the party if he hadn’t been so tired.,en,False
"If I had known about the event, I would have attended.",en,False
She will be late if she doesn’t catch the early bus.,en,False
"If the children finish their chores, they can go to the park.",en,True
We won’t eat a big dinner if we’re not very hungry.,en,False
"If you eat too much junk food, you will gain weight.",en,False
She could earn more money if she had a better job.,en,False
"Even though he was worried, he tried to put it out of his mind.",en,False
My sister puts on makeup whenever she goes out.,en,False
"If you want me to make dinner, we’ll be having pasta.",en,False
I walked to the fridge because I was hungry.,en,False
"She went to work, even though she was tired.",en,False
"Since you did your chores, you can go play.",en,True
"Now that she feels better, she wants to go back to school.",en,False
I ordered cake because I know it’s your favorite.,en,False
"It’s raining in Seattle, whereas it’s sunny in Miami.",en,True
"While they were on vacation, their house sitter stayed with their dog.",en,True
She drove even though she prefers to fly.,en,True
"After they left the movie theater, they walked to a nearby restaurant.",en,False
Remember to brush your teeth before you go to bed!,en,False
"When I grow up, I want to teach grammar.",en,False
"If you like pancakes, you’ll love waffles.",en,True
He left the light on in case she came home late.,en,False
Please call me back even if it’s late.,en,False
She got up to let the cat out while the rest of the family was still asleep.,en,False
"Since the rest of the family was still asleep, she got up to let the cat out.",en,False
"Even though the rest of the family was asleep, she got up to let the cat out.",en,False
"Now that spring is here, it’s time to clean the house.",en,False
It’s time to clean the house now that spring is here.,en,False
"If you’re still hungry, have some carrots.",en,True
Have some carrots if you’re still hungry.,en,True
She bought herself a red dress even though she looks better in blue.,en,False
"Even though she looks better in blue, she bought herself a red dress.",en,False
They stayed at the beach until the sun went down.,en,False
"Until the sun went down, they stayed at the beach.",en,False
He called his mother because he missed her.,en,False
"Since you’re getting paid today, let’s go out for drinks!",en,False
The passenger stepped off the train once it had reached the station.,en,False
I would love to travel the world after I finish with school.,en,False
"If we let them, robots will take over the world.",en,False
You have to do your homework whether you like it or not.,en,False
"While he enjoys skateboarding, surfing is really his favorite.",en,True
We’re going to have to walk unless the bus shows up soon.,en,False
"Now that she has graduated college, she’s going to have to pay her own expenses.",en,False
"You can call me anytime, even if it’s late.",en,False
Financial advisors recommend having some savings in case there’s an emergency.,en,True
"Even though books are expensive, they’re worth every penny.",en,False
"Whenever she feels blue, she listens to her favorite song.",en,True
People who want to get healthy should walk rather than drive.,en,False
"Because they’re opportunistic sleepers, dogs take naps whenever they can.",en,True
"Since finals week was around the corner, the library was very busy.",en,False
"The whiteboard was right next to her, but she didn't feel the need to use it.",en,True
